DrugBank.ID1,DrugBank.ID1,repoDB_status
DB00026,DB01397,1
DB00026,DB01399,1
DB00026,DB01600,1
DB00026,DB01611,1
DB00026,DB06168,1
DB00026,DB06273,1
DB00026,DB06372,1
DB00026,DB06674,1
DB00026,DB08880,1
DB00026,DB08895,1
DB00026,DB08904,1
DB00026,DB09212,1
DB00026,DB09213,1
DB00026,DB09276,1
DB00027,DB00207,1
DB00027,DB00218,1
DB00027,DB00440,1
DB00027,DB00537,1
DB00027,DB00595,1
DB00027,DB00626,1
DB00027,DB00634,1
DB00027,DB00684,1
DB00027,DB00741,1
DB00027,DB00759,1
DB00027,DB00781,1
DB00027,DB00798,1
DB00027,DB00860,1
DB00027,DB00994,1
DB00027,DB01044,1
DB00027,DB01059,1
DB00027,DB01137,1
DB00027,DB01165,1
DB00027,DB01234,1
DB00027,DB01380,1
DB00027,DB02703,1
DB00027,DB06771,1
DB00030,DB00046,1
DB00030,DB00047,1
DB00030,DB00222,1
DB00030,DB00284,1
DB00030,DB00331,1
DB00030,DB00491,1
DB00030,DB00672,1
DB00030,DB00731,1
DB00030,DB00839,1
DB00030,DB00912,1
DB00030,DB01016,1
DB00030,DB01067,1
DB00030,DB01120,1
DB00030,DB01124,1
DB00030,DB01132,1
DB00030,DB01251,1
DB00030,DB01252,1
DB00030,DB01261,1
DB00030,DB01289,1
DB00030,DB01306,1
DB00030,DB01307,1
DB00030,DB01309,1
DB00030,DB01382,1
DB00030,DB04876,1
DB00030,DB04878,1
DB00030,DB06203,1
DB00030,DB06292,1
DB00030,DB06335,1
DB00030,DB06655,1
DB00030,DB08882,1
DB00030,DB08907,1
DB00030,DB09038,1
DB00030,DB09043,1
DB00030,DB09045,1
DB00030,DB09198,1
DB00030,DB09265,1
DB00030,DB09564,1
DB00035,DB00036,1
DB00035,DB00067,1
DB00035,DB00458,1
DB00035,DB09109,1
DB00036,DB00067,1
DB00036,DB00100,1
DB00036,DB09109,1
DB00036,DB11608,1
DB00041,DB00056,1
DB00041,DB00112,1
DB00041,DB00352,1
DB00041,DB00694,1
DB00041,DB00851,1
DB00041,DB00987,1
DB00041,DB00997,1
DB00041,DB01177,1
DB00041,DB01204,1
DB00041,DB01262,1
DB00041,DB05239,1
DB00041,DB06186,1
DB00041,DB08911,1
DB00041,DB08912,1
DB00041,DB09035,1
DB00041,DB09037,1
DB00043,DB00180,1
DB00043,DB00277,1
DB00043,DB00341,1
DB00043,DB00368,1
DB00043,DB00394,1
DB00043,DB00443,1
DB00043,DB00455,1
DB00043,DB00549,1
DB00043,DB00620,1
DB00043,DB00635,1
DB00043,DB00637,1
DB00043,DB00651,1
DB00043,DB00668,1
DB00043,DB00716,1
DB00043,DB00741,1
DB00043,DB00764,1
DB00043,DB00816,1
DB00043,DB00860,1
DB00043,DB00871,1
DB00043,DB00885,1
DB00043,DB00950,1
DB00043,DB00959,1
DB00043,DB00967,1
DB00043,DB01003,1
DB00043,DB01222,1
DB00043,DB01223,1
DB00043,DB01234,1
DB00043,DB01260,1
DB00043,DB01291,1
DB00043,DB01380,1
DB00043,DB01409,1
DB00043,DB01410,1
DB00043,DB01411,1
DB00043,DB05266,1
DB00043,DB06282,1
DB00043,DB07615,1
DB00043,DB08906,1
DB00043,DB09082,1
DB00046,DB00047,1
DB00046,DB00222,1
DB00046,DB00284,1
DB00046,DB00331,1
DB00046,DB00491,1
DB00046,DB00672,1
DB00046,DB00731,1
DB00046,DB00839,1
DB00046,DB00912,1
DB00046,DB01016,1
DB00046,DB01067,1
DB00046,DB01120,1
DB00046,DB01124,1
DB00046,DB01132,1
DB00046,DB01251,1
DB00046,DB01252,1
DB00046,DB01261,1
DB00046,DB01289,1
DB00046,DB01382,1
DB00046,DB04876,1
DB00046,DB04878,1
DB00046,DB06203,1
DB00046,DB06292,1
DB00046,DB06335,1
DB00046,DB06655,1
DB00046,DB08882,1
DB00046,DB08907,1
DB00046,DB09038,1
DB00046,DB09043,1
DB00046,DB09045,1
DB00046,DB09198,1
DB00046,DB09265,1
DB00047,DB00222,1
DB00047,DB00284,1
DB00047,DB00331,1
DB00047,DB00491,1
DB00047,DB00672,1
DB00047,DB00731,1
DB00047,DB00839,1
DB00047,DB00912,1
DB00047,DB01016,1
DB00047,DB01067,1
DB00047,DB01120,1
DB00047,DB01124,1
DB00047,DB01132,1
DB00047,DB01251,1
DB00047,DB01252,1
DB00047,DB01261,1
DB00047,DB01289,1
DB00047,DB01382,1
DB00047,DB04876,1
DB00047,DB04878,1
DB00047,DB06203,1
DB00047,DB06292,1
DB00047,DB06335,1
DB00047,DB06655,1
DB00047,DB08882,1
DB00047,DB08907,1
DB00047,DB09038,1
DB00047,DB09043,1
DB00047,DB09045,1
DB00047,DB09198,1
DB00047,DB09265,1
DB00048,DB03793,1
DB00049,DB00437,1
DB00049,DB01032,1
DB00049,DB01138,1
DB00049,DB04854,1
DB00049,DB11560,1
DB00051,DB00065,1
DB00051,DB00073,1
DB00051,DB00091,1
DB00051,DB00092,1
DB00051,DB00095,1
DB00051,DB00108,1
DB00051,DB00136,1
DB00051,DB00223,1
DB00051,DB00240,1
DB00051,DB00244,1
DB00051,DB00288,1
DB00051,DB00328,1
DB00051,DB00359,1
DB00051,DB00443,1
DB00051,DB00461,1
DB00051,DB00482,1
DB00051,DB00500,1
DB00051,DB00547,1
DB00051,DB00554,1
DB00051,DB00563,1
DB00051,DB00573,1
DB00051,DB00586,1
DB00051,DB00588,1
DB00051,DB00591,1
DB00051,DB00596,1
DB00051,DB00605,1
DB00051,DB00608,1
DB00051,DB00620,1
DB00051,DB00635,1
DB00051,DB00663,1
DB00051,DB00712,1
DB00051,DB00741,1
DB00051,DB00749,1
DB00051,DB00764,1
DB00051,DB00788,1
DB00051,DB00795,1
DB00051,DB00814,1
DB00051,DB00838,1
DB00051,DB00846,1
DB00051,DB00859,1
DB00051,DB00860,1
DB00051,DB00861,1
DB00051,DB00936,1
DB00051,DB00939,1
DB00051,DB00945,1
DB00051,DB00959,1
DB00051,DB00991,1
DB00051,DB00993,1
DB00051,DB00995,1
DB00051,DB01009,1
DB00051,DB01013,1
DB00051,DB01014,1
DB00051,DB01047,1
DB00051,DB01050,1
DB00051,DB01097,1
DB00051,DB01130,1
DB00051,DB01222,1
DB00051,DB01234,1
DB00051,DB01260,1
DB00051,DB01281,1
DB00051,DB01356,1
DB00051,DB01380,1
DB00051,DB01397,1
DB00051,DB01399,1
DB00051,DB01600,1
DB00051,DB01611,1
DB00051,DB02300,1
DB00051,DB05676,1
DB00051,DB05679,1
DB00051,DB06273,1
DB00051,DB06674,1
DB00051,DB06786,1
DB00051,DB06824,1
DB00051,DB08880,1
DB00051,DB08895,1
DB00051,DB08904,1
DB00051,DB09029,1
DB00051,DB09033,1
DB00051,DB09212,1
DB00051,DB09213,1
DB00051,DB09276,1
DB00051,DB11569,1
DB00052,DB01282,1
DB00053,DB00419,1
DB00053,DB04878,1
DB00053,DB06720,1
DB00053,DB09039,1
DB00056,DB00352,1
DB00056,DB00694,1
DB00056,DB00987,1
DB00056,DB00997,1
DB00056,DB01177,1
DB00056,DB01204,1
DB00056,DB01262,1
DB00059,DB00309,1
DB00059,DB00443,1
DB00059,DB00444,1
DB00059,DB00541,1
DB00059,DB00563,1
DB00059,DB00620,1
DB00059,DB00631,1
DB00059,DB00635,1
DB00059,DB00694,1
DB00059,DB00741,1
DB00059,DB00860,1
DB00059,DB00959,1
DB00059,DB00987,1
DB00059,DB00997,1
DB00059,DB01033,1
DB00059,DB01234,1
DB00059,DB01380,1
DB00060,DB00068,1
DB00060,DB00087,1
DB00060,DB00111,1
DB00060,DB01204,1
DB00060,DB08868,1
DB00060,DB08908,1
DB00060,DB09122,1
DB00063,DB00264,1
DB00063,DB00758,1
DB00063,DB00775,1
DB00063,DB06209,1
DB00063,DB08816,1
DB00065,DB00073,1
DB00065,DB00091,1
DB00065,DB00092,1
DB00065,DB00095,1
DB00065,DB00108,1
DB00065,DB00136,1
DB00065,DB00223,1
DB00065,DB00240,1
DB00065,DB00244,1
DB00065,DB00288,1
DB00065,DB00328,1
DB00065,DB00359,1
DB00065,DB00443,1
DB00065,DB00461,1
DB00065,DB00482,1
DB00065,DB00500,1
DB00065,DB00547,1
DB00065,DB00554,1
DB00065,DB00563,1
DB00065,DB00573,1
DB00065,DB00586,1
DB00065,DB00588,1
DB00065,DB00591,1
DB00065,DB00596,1
DB00065,DB00605,1
DB00065,DB00608,1
DB00065,DB00620,1
DB00065,DB00635,1
DB00065,DB00663,1
DB00065,DB00712,1
DB00065,DB00741,1
DB00065,DB00749,1
DB00065,DB00764,1
DB00065,DB00788,1
DB00065,DB00795,1
DB00065,DB00814,1
DB00065,DB00838,1
DB00065,DB00846,1
DB00065,DB00859,1
DB00065,DB00860,1
DB00065,DB00861,1
DB00065,DB00936,1
DB00065,DB00939,1
DB00065,DB00945,1
DB00065,DB00959,1
DB00065,DB00991,1
DB00065,DB00993,1
DB00065,DB00995,1
DB00065,DB01009,1
DB00065,DB01013,1
DB00065,DB01014,1
DB00065,DB01047,1
DB00065,DB01050,1
DB00065,DB01097,1
DB00065,DB01130,1
DB00065,DB01222,1
DB00065,DB01234,1
DB00065,DB01260,1
DB00065,DB01281,1
DB00065,DB01356,1
DB00065,DB01380,1
DB00065,DB01397,1
DB00065,DB01399,1
DB00065,DB01600,1
DB00065,DB01611,1
DB00065,DB02300,1
DB00065,DB05676,1
DB00065,DB05679,1
DB00065,DB06273,1
DB00065,DB06674,1
DB00065,DB06786,1
DB00065,DB06824,1
DB00065,DB08880,1
DB00065,DB08895,1
DB00065,DB08904,1
DB00065,DB09029,1
DB00065,DB09033,1
DB00065,DB09212,1
DB00065,DB09213,1
DB00065,DB09276,1
DB00065,DB11569,1
DB00067,DB00458,1
DB00067,DB09109,1
DB00068,DB00087,1
DB00068,DB00111,1
DB00068,DB01204,1
DB00068,DB08868,1
DB00068,DB08908,1
DB00068,DB09122,1
DB00072,DB00357,1
DB00072,DB05773,1
DB00072,DB06366,1
DB00073,DB00091,1
DB00073,DB00262,1
DB00073,DB00290,1
DB00073,DB00291,1
DB00073,DB00328,1
DB00073,DB00443,1
DB00073,DB00461,1
DB00073,DB00482,1
DB00073,DB00500,1
DB00073,DB00541,1
DB00073,DB00554,1
DB00073,DB00563,1
DB00073,DB00570,1
DB00073,DB00573,1
DB00073,DB00586,1
DB00073,DB00605,1
DB00073,DB00608,1
DB00073,DB00620,1
DB00073,DB00635,1
DB00073,DB00712,1
DB00073,DB00741,1
DB00073,DB00749,1
DB00073,DB00788,1
DB00073,DB00791,1
DB00073,DB00795,1
DB00073,DB00814,1
DB00073,DB00859,1
DB00073,DB00860,1
DB00073,DB00861,1
DB00073,DB00888,1
DB00073,DB00936,1
DB00073,DB00939,1
DB00073,DB00945,1
DB00073,DB00959,1
DB00073,DB00991,1
DB00073,DB00993,1
DB00073,DB00995,1
DB00073,DB00997,1
DB00073,DB01009,1
DB00073,DB01050,1
DB00073,DB01097,1
DB00073,DB01234,1
DB00073,DB01281,1
DB00073,DB01356,1
DB00073,DB01380,1
DB00073,DB01397,1
DB00073,DB01399,1
DB00073,DB01600,1
DB00073,DB01611,1
DB00073,DB04572,1
DB00073,DB06273,1
DB00073,DB06650,1
DB00073,DB06674,1
DB00073,DB06769,1
DB00073,DB08880,1
DB00073,DB08895,1
DB00073,DB08904,1
DB00073,DB08935,1
DB00073,DB09053,1
DB00073,DB09054,1
DB00073,DB09212,1
DB00073,DB09213,1
DB00073,DB09276,1
DB00073,DB11581,1
DB00074,DB00111,1
DB00074,DB00864,1
DB00074,DB06681,1
DB00078,DB00290,1
DB00078,DB00291,1
DB00078,DB00443,1
DB00078,DB00541,1
DB00078,DB00620,1
DB00078,DB00635,1
DB00078,DB00860,1
DB00078,DB00959,1
DB00078,DB00997,1
DB00078,DB01234,1
DB00078,DB01380,1
DB00078,DB06769,1
DB00078,DB09054,1
DB00080,DB00415,1
DB00080,DB00438,1
DB00080,DB00493,1
DB00080,DB00607,1
DB00080,DB00713,1
DB00080,DB00766,1
DB00080,DB01331,1
DB00080,DB01332,1
DB00080,DB01607,1
DB00082,DB00104,1
DB00082,DB00589,1
DB00082,DB01200,1
DB00082,DB06791,1
DB00087,DB00111,1
DB00087,DB01204,1
DB00087,DB08868,1
DB00087,DB08908,1
DB00087,DB09122,1
DB00088,DB06720,1
DB00091,DB00137,1
DB00091,DB00328,1
DB00091,DB00443,1
DB00091,DB00461,1
DB00091,DB00482,1
DB00091,DB00500,1
DB00091,DB00554,1
DB00091,DB00563,1
DB00091,DB00573,1
DB00091,DB00586,1
DB00091,DB00605,1
DB00091,DB00608,1
DB00091,DB00620,1
DB00091,DB00635,1
DB00091,DB00712,1
DB00091,DB00741,1
DB00091,DB00749,1
DB00091,DB00788,1
DB00091,DB00795,1
DB00091,DB00814,1
DB00091,DB00859,1
DB00091,DB00860,1
DB00091,DB00861,1
DB00091,DB00871,1
DB00091,DB00936,1
DB00091,DB00939,1
DB00091,DB00945,1
DB00091,DB00959,1
DB00091,DB00991,1
DB00091,DB00993,1
DB00091,DB00995,1
DB00091,DB01009,1
DB00091,DB01050,1
DB00091,DB01097,1
DB00091,DB01234,1
DB00091,DB01281,1
DB00091,DB01356,1
DB00091,DB01380,1
DB00091,DB01397,1
DB00091,DB01399,1
DB00091,DB01600,1
DB00091,DB01611,1
DB00091,DB06273,1
DB00091,DB06674,1
DB00091,DB08880,1
DB00091,DB08895,1
DB00091,DB08904,1
DB00091,DB09212,1
DB00091,DB09213,1
DB00091,DB09276,1
DB00091,DB09287,1
DB00092,DB00095,1
DB00092,DB00136,1
DB00092,DB00223,1
DB00092,DB00240,1
DB00092,DB00288,1
DB00092,DB00443,1
DB00092,DB00547,1
DB00092,DB00588,1
DB00092,DB00591,1
DB00092,DB00596,1
DB00092,DB00620,1
DB00092,DB00663,1
DB00092,DB00741,1
DB00092,DB00764,1
DB00092,DB00838,1
DB00092,DB00846,1
DB00092,DB00860,1
DB00092,DB00959,1
DB00092,DB01013,1
DB00092,DB01047,1
DB00092,DB01130,1
DB00092,DB01234,1
DB00092,DB01260,1
DB00092,DB01380,1
DB00092,DB02300,1
DB00092,DB05676,1
DB00092,DB06786,1
DB00092,DB06824,1
DB00092,DB09029,1
DB00092,DB11569,1
DB00095,DB00136,1
DB00095,DB00223,1
DB00095,DB00240,1
DB00095,DB00288,1
DB00095,DB00443,1
DB00095,DB00547,1
DB00095,DB00588,1
DB00095,DB00591,1
DB00095,DB00596,1
DB00095,DB00620,1
DB00095,DB00663,1
DB00095,DB00741,1
DB00095,DB00764,1
DB00095,DB00838,1
DB00095,DB00846,1
DB00095,DB00860,1
DB00095,DB00959,1
DB00095,DB01013,1
DB00095,DB01047,1
DB00095,DB01130,1
DB00095,DB01234,1
DB00095,DB01260,1
DB00095,DB01380,1
DB00095,DB02300,1
DB00095,DB05676,1
DB00095,DB06786,1
DB00095,DB06824,1
DB00095,DB09029,1
DB00095,DB11569,1
DB00099,DB09560,1
DB00100,DB11608,1
DB00104,DB00589,1
DB00104,DB01200,1
DB00104,DB06791,1
DB00107,DB00353,1
DB00107,DB00429,1
DB00107,DB00834,1
DB00107,DB00917,1
DB00107,DB00929,1
DB00107,DB01160,1
DB00107,DB01253,1
DB00108,DB00443,1
DB00108,DB00620,1
DB00108,DB00635,1
DB00108,DB00741,1
DB00108,DB00860,1
DB00108,DB00959,1
DB00108,DB01222,1
DB00108,DB01234,1
DB00108,DB01260,1
DB00108,DB01380,1
DB00108,DB05259,1
DB00108,DB06637,1
DB00108,DB08880,1
DB00108,DB08904,1
DB00108,DB09033,1
DB00109,DB00220,1
DB00109,DB00224,1
DB00109,DB00238,1
DB00109,DB00300,1
DB00109,DB00495,1
DB00109,DB00503,1
DB00109,DB00625,1
DB00109,DB00649,1
DB00109,DB00701,1
DB00109,DB00705,1
DB00109,DB00709,1
DB00109,DB00879,1
DB00109,DB00900,1
DB00109,DB00932,1
DB00109,DB00943,1
DB00109,DB01048,1
DB00109,DB01072,1
DB00109,DB01232,1
DB00109,DB01264,1
DB00109,DB01319,1
DB00109,DB01601,1
DB00109,DB06414,1
DB00109,DB06817,1
DB00109,DB08864,1
DB00109,DB08930,1
DB00109,DB09065,1
DB00109,DB09101,1
DB00109,DB09299,1
DB00110,DB00811,1
DB00111,DB00864,1
DB00111,DB01204,1
DB00111,DB06681,1
DB00111,DB08868,1
DB00111,DB08908,1
DB00111,DB09122,1
DB00112,DB01269,1
DB00112,DB09035,1
DB00112,DB09074,1
DB00115,DB00126,1
DB00115,DB00139,1
DB00115,DB00140,1
DB00115,DB00152,1
DB00115,DB00153,1
DB00115,DB00158,1
DB00115,DB00162,1
DB00115,DB00169,1
DB00115,DB00200,1
DB00115,DB00627,1
DB00115,DB01592,1
DB00115,DB08917,1
DB00115,DB09325,1
DB00115,DB09517,1
DB00122,DB00189,1
DB00122,DB00231,1
DB00122,DB00237,1
DB00122,DB00306,1
DB00122,DB00312,1
DB00122,DB00402,1
DB00122,DB00418,1
DB00122,DB00425,1
DB00122,DB00690,1
DB00122,DB00897,1
DB00122,DB01031,1
DB00122,DB01075,1
DB00122,DB01107,1
DB00122,DB01142,1
DB00122,DB01198,1
DB00122,DB01351,1
DB00122,DB01352,1
DB00122,DB01353,1
DB00122,DB01437,1
DB00122,DB01563,1
DB00122,DB01588,1
DB00122,DB01589,1
DB00122,DB01595,1
DB00122,DB01615,1
DB00122,DB09034,1
DB00126,DB00140,1
DB00126,DB00152,1
DB00126,DB00153,1
DB00126,DB00158,1
DB00126,DB00159,1
DB00126,DB00162,1
DB00126,DB00165,1
DB00126,DB00169,1
DB00126,DB00627,1
DB00126,DB09325,1
DB00128,DB00761,1
DB00128,DB01164,1
DB00128,DB09125,1
DB00130,DB08900,1
DB00131,DB00151,1
DB00131,DB00640,1
DB00131,DB06151,1
DB00131,DB08820,1
DB00131,DB09485,1
DB00133,DB00195,1
DB00133,DB00233,1
DB00133,DB00260,1
DB00133,DB00287,1
DB00133,DB00314,1
DB00133,DB00319,1
DB00133,DB00330,1
DB00133,DB00336,1
DB00133,DB00339,1
DB00133,DB00355,1
DB00133,DB00373,1
DB00133,DB00411,1
DB00133,DB00438,1
DB00133,DB00440,1
DB00133,DB00449,1
DB00133,DB00484,1
DB00133,DB00493,1
DB00133,DB00521,1
DB00133,DB00537,1
DB00133,DB00567,1
DB00133,DB00575,1
DB00133,DB00576,1
DB00133,DB00578,1
DB00133,DB00609,1
DB00133,DB00654,1
DB00133,DB00668,1
DB00133,DB00671,1
DB00133,DB00698,1
DB00133,DB00703,1
DB00133,DB00766,1
DB00133,DB00819,1
DB00133,DB00828,1
DB00133,DB00869,1
DB00133,DB00905,1
DB00133,DB00951,1
DB00133,DB00964,1
DB00133,DB00981,1
DB00133,DB01015,1
DB00133,DB01044,1
DB00133,DB01045,1
DB00133,DB01057,1
DB00133,DB01059,1
DB00133,DB01060,1
DB00133,DB01082,1
DB00133,DB01085,1
DB00133,DB01112,1
DB00133,DB01137,1
DB00133,DB01139,1
DB00133,DB01140,1
DB00133,DB01144,1
DB00133,DB01165,1
DB00133,DB01194,1
DB00133,DB01201,1
DB00133,DB01210,1
DB00133,DB01212,1
DB00133,DB01214,1
DB00133,DB01229,1
DB00133,DB01326,1
DB00133,DB01328,1
DB00133,DB01330,1
DB00133,DB01331,1
DB00133,DB01332,1
DB00133,DB01333,1
DB00133,DB01413,1
DB00133,DB01416,1
DB00133,DB01607,1
DB00133,DB06756,1
DB00133,DB06826,1
DB00133,DB08819,1
DB00133,DB08903,1
DB00133,DB08993,1
DB00133,DB09351,1
DB00136,DB00146,1
DB00136,DB00153,1
DB00136,DB00169,1
DB00136,DB00223,1
DB00136,DB00240,1
DB00136,DB00258,1
DB00136,DB00288,1
DB00136,DB00326,1
DB00136,DB00443,1
DB00136,DB00547,1
DB00136,DB00588,1
DB00136,DB00591,1
DB00136,DB00596,1
DB00136,DB00620,1
DB00136,DB00663,1
DB00136,DB00741,1
DB00136,DB00764,1
DB00136,DB00838,1
DB00136,DB00846,1
DB00136,DB00860,1
DB00136,DB00959,1
DB00136,DB01013,1
DB00136,DB01022,1
DB00136,DB01047,1
DB00136,DB01070,1
DB00136,DB01130,1
DB00136,DB01164,1
DB00136,DB01234,1
DB00136,DB01260,1
DB00136,DB01377,1
DB00136,DB01380,1
DB00136,DB01436,1
DB00136,DB02300,1
DB00136,DB05676,1
DB00136,DB05829,1
DB00136,DB06724,1
DB00136,DB06786,1
DB00136,DB06824,1
DB00136,DB09029,1
DB00136,DB09525,1
DB00136,DB11569,1
DB00137,DB00871,1
DB00137,DB09287,1
DB00139,DB00158,1
DB00139,DB01592,1
DB00139,DB08917,1
DB00139,DB09517,1
DB00140,DB00152,1
DB00140,DB00153,1
DB00140,DB00158,1
DB00140,DB00162,1
DB00140,DB00169,1
DB00140,DB00627,1
DB00140,DB09325,1
DB00145,DB00180,1
DB00145,DB00201,1
DB00145,DB00283,1
DB00145,DB00316,1
DB00145,DB00318,1
DB00145,DB00327,1
DB00145,DB00332,1
DB00145,DB00341,1
DB00145,DB00366,1
DB00145,DB00388,1
DB00145,DB00394,1
DB00145,DB00397,1
DB00145,DB00405,1
DB00145,DB00420,1
DB00145,DB00427,1
DB00145,DB00434,1
DB00145,DB00443,1
DB00145,DB00455,1
DB00145,DB00462,1
DB00145,DB00471,1
DB00145,DB00514,1
DB00145,DB00557,1
DB00145,DB00588,1
DB00145,DB00620,1
DB00145,DB00635,1
DB00145,DB00637,1
DB00145,DB00719,1
DB00145,DB00725,1
